run_id,state_module,state_folder,status,started_at,ended_at,duration_sec,files_downloaded,error
20260527_074937,chandigarh,chandigarh,success,2026-05-27T07:49:38+05:30,2026-05-27T07:51:18+05:30,100.3,6,
20260527_074937,download_india_combined,india,failed,2026-05-27T07:51:18+05:30,2026-05-27T07:51:18+05:30,0.0,0,"AttributeError: module 'state_job_download_india_combined' has no attribute 'run_all_filter_downloads'
Traceback (most recent call last):
  File ""R:\erikshaw-automation\controller.py"", line 99, in _run_one_state
    run_fn = getattr(mod, ""run_downloads"", mod.run_all_filter_downloads)
                                           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
AttributeError: module 'state_job_download_india_combined' has no attribute 'run_all_filter_downloads'
"
20260527_074937,goa,goa,success,2026-05-27T07:51:18+05:30,2026-05-27T07:55:02+05:30,224.3,42,
20260527_074937,delhi,delhi,success,2026-05-27T07:49:38+05:30,2026-05-27T07:57:21+05:30,462.9,72,
20260527_074937,andaman_nicobar_island,andaman & nicobar island,success,2026-05-27T07:49:38+05:30,2026-05-27T08:04:45+05:30,907.6,33,
20260527_074937,gujarat,gujarat,success,2026-05-27T07:55:02+05:30,2026-05-27T08:05:05+05:30,602.3,114,
20260527_074937,arunachal_pradesh,arunachal pradesh,success,2026-05-27T07:49:38+05:30,2026-05-27T08:09:48+05:30,1210.4,90,
20260527_074937,chhattisgarh,chhattisgarh,success,2026-05-27T07:49:38+05:30,2026-05-27T08:10:30+05:30,1252.3,96,
20260527_074937,jammu_and_kashmir,jammu and kashmir,success,2026-05-27T08:05:05+05:30,2026-05-27T08:11:33+05:30,388.5,66,
20260527_074937,assam,assam,success,2026-05-27T07:49:38+05:30,2026-05-27T08:12:49+05:30,1391.6,117,
20260527_074937,ladakh,ladakh,success,2026-05-27T08:12:49+05:30,2026-05-27T08:14:09+05:30,80.1,12,
20260527_074937,bihar,bihar,success,2026-05-27T07:49:38+05:30,2026-05-27T08:15:27+05:30,1549.0,150,
20260527_074937,lakshadweep,lakshadweep,success,2026-05-27T08:14:09+05:30,2026-05-27T08:17:05+05:30,175.3,30,
20260527_074937,jharkhand,jharkhand,success,2026-05-27T08:09:48+05:30,2026-05-27T08:18:38+05:30,530.2,96,
20260527_074937,manipur,manipur,success,2026-05-27T08:18:38+05:30,2026-05-27T08:23:34+05:30,295.6,54,
20260527_074937,andhra_pradesh,andhra pradesh,success,2026-05-27T07:49:38+05:30,2026-05-27T08:23:39+05:30,2041.4,255,
20260527_074937,mizoram,mizoram,success,2026-05-27T08:23:39+05:30,2026-05-27T08:27:08+05:30,208.5,39,
20260527_074937,meghalaya,meghalaya,success,2026-05-27T08:23:34+05:30,2026-05-27T08:27:49+05:30,254.7,45,
20260527_074937,madhya_pradesh,madhya pradesh,success,2026-05-27T08:15:27+05:30,2026-05-27T08:29:27+05:30,840.7,162,
20260527_074937,karnataka,karnataka,success,2026-05-27T08:10:30+05:30,2026-05-27T08:29:36+05:30,1145.7,207,
20260527_074937,nagaland,nagaland,success,2026-05-27T08:27:08+05:30,2026-05-27T08:30:11+05:30,182.9,30,
20260527_074937,puducherry,puducherry,success,2026-05-27T08:29:27+05:30,2026-05-27T08:32:23+05:30,176.0,27,
20260527_074937,maharashtra,maharashtra,success,2026-05-27T08:17:05+05:30,2026-05-27T08:34:32+05:30,1047.0,186,
20260527_074937,kerala,kerala,success,2026-05-27T08:11:33+05:30,2026-05-27T08:35:00+05:30,1407.0,264,
20260527_074937,sikkim,sikkim,success,2026-05-27T08:32:24+05:30,2026-05-27T08:35:20+05:30,176.4,30,
20260527_074937,himachal_pradesh,himachal pradesh,success,2026-05-27T08:04:45+05:30,2026-05-27T08:35:55+05:30,1870.1,351,
20260527_074937,ut_of_dnh_and_dd,ut of dnh and dd,success,2026-05-27T08:35:55+05:30,2026-05-27T08:37:13+05:30,77.5,12,
20260527_074937,odisha,odisha,success,2026-05-27T08:27:49+05:30,2026-05-27T08:39:12+05:30,682.9,120,
20260527_074937,tripura,tripura,success,2026-05-27T08:35:20+05:30,2026-05-27T08:39:21+05:30,241.2,30,
20260527_074937,uttarakhand,uttarakhand,success,2026-05-27T08:39:12+05:30,2026-05-27T08:46:49+05:30,457.5,66,
20260527_074937,haryana,haryana,success,2026-05-27T07:57:21+05:30,2026-05-27T08:47:59+05:30,3037.9,555,
20260527_074937,telangana,telangana,success,2026-05-27T08:35:00+05:30,2026-05-27T08:50:18+05:30,918.0,174,
20260527_074937,punjab,punjab,success,2026-05-27T08:29:36+05:30,2026-05-27T08:54:39+05:30,1503.0,291,
20260527_074937,west_bengal,west bengal,success,2026-05-27T08:39:21+05:30,2026-05-27T08:55:16+05:30,955.2,180,
20260527_074937,uttar_pradesh,uttar pradesh,success,2026-05-27T08:37:13+05:30,2026-05-27T08:57:16+05:30,1202.6,237,
20260527_074937,rajasthan,rajasthan,success,2026-05-27T08:30:11+05:30,2026-05-27T09:05:46+05:30,2135.0,432,
20260527_074937,tamil_nadu,tamil nadu,success,2026-05-27T08:34:32+05:30,2026-05-27T09:09:54+05:30,2122.4,447,
